date	q
04/08/2010	879.0846635
05/08/2010	876.9765468
06/08/2010	874.8785167
07/08/2010	872.7905012
08/08/2010	870.7124286
09/08/2010	868.644228
10/08/2010	866.5858294
11/08/2010	864.5371631
12/08/2010	862.4981604
13/08/2010	860.4687529
14/08/2010	858.4488732
15/08/2010	856.4384543
16/08/2010	854.4374299
17/08/2010	852.4457343
18/08/2010	850.4633023
19/08/2010	848.4900696
20/08/2010	846.5259722
21/08/2010	844.5709469
22/08/2010	842.6249309
23/08/2010	840.6878621
24/08/2010	838.7596789
25/08/2010	836.8403204
26/08/2010	834.929726
27/08/2010	833.027836
28/08/2010	831.1345909
29/08/2010	829.249932
30/08/2010	827.3738009
31/08/2010	825.50614
01/09/2010	823.6468919
02/09/2010	821.796
03/09/2010	819.9534081
04/09/2010	818.1190604
05/09/2010	816.2929018
06/09/2010	814.4748775
07/09/2010	812.6649333
08/09/2010	810.8630155
09/09/2010	809.0690708
10/09/2010	807.2830464
11/09/2010	805.5048899
12/09/2010	803.7345495
13/09/2010	801.9719737
14/09/2010	800.2171116
15/09/2010	798.4699127
16/09/2010	796.7303268
17/09/2010	794.9983043
18/09/2010	793.2737961
19/09/2010	791.5567532
20/09/2010	789.8471274
21/09/2010	788.1448707
22/09/2010	786.4499355
23/09/2010	784.7622747
24/09/2010	783.0818415
25/09/2010	781.4085897
26/09/2010	779.7424733
27/09/2010	778.0834468
28/09/2010	776.431465
29/09/2010	774.7864831
30/09/2010	773.1484567
01/10/2010	771.5173418
02/10/2010	769.8930947
03/10/2010	768.2756723
04/10/2010	766.6650314
05/10/2010	765.0611297
06/10/2010	763.4639248
07/10/2010	761.873375
08/10/2010	760.2894387
09/10/2010	758.7120747
10/10/2010	757.1412422
11/10/2010	755.5769008
12/10/2010	754.0190103
13/10/2010	752.4675309
14/10/2010	750.922423
15/10/2010	749.3836475
16/10/2010	747.8511656
17/10/2010	746.3249388
18/10/2010	744.8049287
19/10/2010	743.2910976
20/10/2010	741.7834077
21/10/2010	740.2818219
22/10/2010	738.786303
23/10/2010	737.2968145
24/10/2010	735.8133199
25/10/2010	734.3357831
26/10/2010	732.8641683
27/10/2010	731.39844
28/10/2010	729.9385629
29/10/2010	728.484502
30/10/2010	727.0362227
31/10/2010	725.5936905
01/11/2010	724.1568713
02/11/2010	722.7257312
03/11/2010	721.3002367
04/11/2010	719.8803543
05/11/2010	718.4660511
06/11/2010	717.0572941
07/11/2010	715.6540509
08/11/2010	714.2562891
09/11/2010	712.8639766
10/11/2010	711.4770817
11/11/2010	710.0955728
12/11/2010	708.7194186
13/11/2010	707.348588
14/11/2010	705.9830502
15/11/2010	704.6227746
16/11/2010	703.2677308
17/11/2010	701.9178887
18/11/2010	700.5732184
19/11/2010	699.2336902
20/11/2010	697.8992748
21/11/2010	696.5699429
22/11/2010	695.2456654
23/11/2010	693.9264137
24/11/2010	692.6121591
25/11/2010	691.3028733
26/11/2010	689.9985283
27/11/2010	688.699096
28/11/2010	687.4045489
29/11/2010	686.1148593
30/11/2010	684.83
01/12/2010	683.5499439
02/12/2010	682.2746642
03/12/2010	681.0041341
04/12/2010	679.7383271
05/12/2010	678.4772171
06/12/2010	677.2207778
07/12/2010	675.9689834
08/12/2010	674.7218081
09/12/2010	673.4792265
10/12/2010	672.2412132
11/12/2010	671.0077431
12/12/2010	669.7787912
13/12/2010	668.5543327
14/12/2010	667.3343431
15/12/2010	666.1187978
16/12/2010	664.9076727
17/12/2010	663.7009437
18/12/2010	662.498587
19/12/2010	661.3005787
20/12/2010	660.1068953
21/12/2010	658.9175135
22/12/2010	657.7324101
23/12/2010	656.5515619
24/12/2010	655.3749462
25/12/2010	654.2025403
26/12/2010	653.0343214
27/12/2010	651.8702674
28/12/2010	650.7103559
29/12/2010	649.5545648
30/12/2010	648.4028723
31/12/2010	647.2552566
01/01/2011	646.1116961
02/01/2011	644.9721693
03/01/2011	643.8366549
04/01/2011	642.7051318
05/01/2011	641.5775789
06/01/2011	640.4539755
